
C:\Users\matias.araya.cohen\Documents\ITAU-ConsolodicacionDeSistemas\server-discovery>netstat -no 

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:50886        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50889        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50891        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50892        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50895        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50897        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50899        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50901        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50903        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50905        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50907        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:50909        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50911        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50913        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50915        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:50922        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:53057        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:53061        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:53065        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:53159        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:53186        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:53256        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:53294        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:54508        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:54540        127.0.0.1:912          ESTABLISHED     6004
  TCP    127.0.0.1:54541        127.0.0.1:54542        ESTABLISHED     3532
  TCP    127.0.0.1:54542        127.0.0.1:54541        ESTABLISHED     3532
  TCP    127.0.0.1:54784        127.0.0.1:50515        ESTABLISHED     3792
  TCP    127.0.0.1:54878        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:54887        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:54892        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:54899        127.0.0.1:55040        FIN_WAIT_2      14320
  TCP    127.0.0.1:55040        127.0.0.1:50219        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50275        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50285        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50289        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50307        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50308        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50316        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50319        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50321        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50351        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50355        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50357        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50359        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50368        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50394        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50397        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50401        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50432        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50476        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50499        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50513        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50563        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50566        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50570        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50578        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50580        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50582        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50584        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50590        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50598        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50600        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50602        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50604        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50609        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50611        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50613        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50614        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50617        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50619        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50621        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50625        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50627        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50629        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50631        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50633        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50635        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50637        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50638        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50641        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50645        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50647        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50649        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50653        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50655        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50657        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50659        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50661        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50663        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50664        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50682        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50684        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50693        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50697        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50699        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50701        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50703        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50705        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50707        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50710        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50712        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50714        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50716        TIME_WAIT       0
